date,region,Sales
2018-05-02,south,1674.0
2018-05-02,west,1653.0
2018-05-03,east,1500.0
2018-05-03,north,1785.0
2018-05-03,south,1569.0
2018-05-03,west,1770.0
2018-05-04,east,1671.0
2018-05-04,north,1653.0
2018-05-04,south,1590.0
2018-05-04,west,1629.0
2018-05-05,east,1575.0
2018-05-05,north,1578.0
2018-05-05,south,1665.0
2018-05-05,west,1587.0
2018-05-06,east,1719.0
2018-05-06,north,1674.0
2018-05-06,south,1785.0
2018-05-06,west,1617.0
2018-05-07,east,1728.0
2018-05-07,north,1794.0
2018-05-07,south,1563.0
2018-05-07,west,1740.0
2018-05-08,east,1728.0
2018-05-08,north,1617.0
2018-05-08,south,1650.0
2018-05-08,west,1635.0
2018-05-09,east,1551.0
2018-05-09,north,1584.0
2018-05-09,south,1647.0
2018-05-09,west,1512.0
2018-05-10,east,1515.0
2018-05-10,north,1737.0
2018-05-10,south,1551.0
2018-05-10,west,1716.0
2018-05-11,east,1584.0
2018-05-11,north,1746.0
2018-05-11,south,1677.0
2018-05-11,west,1617.0
2018-05-12,east,1521.0
2018-05-12,north,1743.0
2018-05-12,south,1533.0
2018-05-12,west,1578.0
2018-05-13,east,1665.0
2018-05-13,north,1545.0
2018-05-13,south,1713.0
2018-05-13,west,1644.0
2018-05-14,east,1644.0
2018-05-14,north,1776.0
2018-05-14,south,1560.0
2018-05-14,west,1503.0
2018-05-15,east,1701.0
2018-05-15,north,1800.0
2018-05-15,south,1758.0
2018-05-15,west,1671.0
2018-05-16,east,1626.0
2018-05-16,north,1593.0
2018-05-16,south,1617.0
2018-05-16,west,1629.0
2018-05-17,east,1590.0
2018-05-17,north,1728.0
2018-05-17,south,1506.0
2018-05-17,west,1626.0
2018-05-18,east,1539.0
2018-05-18,north,1782.0
2018-05-18,south,1572.0
2018-05-18,west,1509.0
2018-05-19,east,1626.0
2018-05-19,north,1788.0
2018-05-19,south,1713.0
2018-05-19,west,1629.0
2018-05-20,east,1752.0
2018-05-20,north,1548.0
2018-05-20,south,1716.0
2018-05-20,west,1638.0
2018-05-21,east,1626.0
2018-05-21,north,1575.0
2018-05-21,south,1671.0
2018-05-21,west,1572.0
2018-05-22,east,1581.0
2018-05-22,north,1572.0
2018-05-22,south,1569.0
2018-05-22,west,1521.0
2018-05-23,east,1713.0
2018-05-23,north,1641.0
2018-05-23,south,1692.0
2018-05-23,west,1563.0
2018-05-24,east,1695.0
2018-05-24,north,1524.0
2018-05-24,south,1533.0
2018-05-24,west,1533.0
2018-05-25,east,1713.0
2018-05-25,north,1599.0
2018-05-25,south,1665.0
2018-05-25,west,1644.0
2018-05-26,east,1650.0
2018-05-26,north,1776.0
2018-05-26,south,1530.0
2018-05-26,west,1512.0
2018-05-27,east,1521.0
2018-05-27,north,1629.0
2018-05-27,south,1707.0
2018-05-27,west,1761.0
2018-05-28,east,1800.0
2018-05-28,north,1755.0
2018-05-28,south,1659.0
2018-05-28,west,1539.0
2018-05-29,east,1629.0
2018-05-29,north,1713.0
2018-05-29,south,1752.0
2018-05-29,west,1635.0
2018-05-30,east,1614.0
2018-05-30,north,1674.0
2018-05-30,south,1701.0
2018-05-30,west,1794.0
2018-05-31,east,1536.0
2018-05-31,north,1725.0
2018-05-31,south,1659.0
2018-05-31,west,1620.0
2018-06-01,east,1665.0
2018-06-01,north,1794.0
2018-06-01,south,1623.0
2018-06-01,west,1671.0
2018-06-02,east,1797.0
2018-06-02,north,1752.0
2018-06-02,south,1707.0
2018-06-02,west,1668.0
2018-06-03,east,1578.0
2018-06-03,north,1596.0
2018-06-03,south,1503.0
2018-06-03,west,1680.0
2018-06-04,east,1572.0
2018-06-04,north,1608.0
2018-06-04,south,1683.0
2018-06-04,west,1656.0
2018-06-05,east,1557.0
2018-06-05,north,1713.0
2018-06-05,south,1698.0
2018-06-05,west,1782.0
2018-06-06,east,1761.0
2018-06-06,north,1695.0
2018-06-06,south,1680.0
2018-06-06,west,1659.0
2018-06-07,east,1785.0
2018-06-07,north,1518.0
2018-06-07,south,1572.0
2018-06-07,west,1557.0
2018-06-08,east,1695.0
2018-06-08,north,1719.0
2018-06-08,south,1677.0
2018-06-08,west,1602.0
2018-06-09,east,1656.0
2018-06-09,north,1782.0
2018-06-09,south,1773.0
2018-06-09,west,1665.0
2018-06-10,east,1737.0
2018-06-10,north,1578.0
2018-06-10,south,1641.0
2018-06-10,west,1557.0
2018-06-11,east,1698.0
2018-06-11,north,1788.0
2018-06-11,south,1677.0
2018-06-11,west,1728.0
2018-06-12,east,1548.0
2018-06-12,north,1776.0
2018-06-12,south,1551.0
2018-06-12,west,1542.0
2018-06-13,east,1572.0
2018-06-13,north,1683.0
2018-06-13,south,1683.0
2018-06-13,west,1683.0
2018-06-14,east,1599.0
2018-06-14,north,1761.0
2018-06-14,south,1668.0
2018-06-14,west,1593.0
2018-06-15,east,1593.0
2018-06-15,north,1623.0
2018-06-15,south,1737.0
2018-06-15,west,1788.0
2018-06-16,east,1575.0
2018-06-16,north,1659.0
2018-06-16,south,1641.0
2018-06-16,west,1611.0
2018-06-17,east,1608.0
2018-06-17,north,1599.0
2018-06-17,south,1530.0
2018-06-17,west,1626.0
2018-06-18,east,1611.0
2018-06-18,north,1530.0
2018-06-18,south,1707.0
2018-06-18,west,1635.0
2018-06-19,east,1623.0
2018-06-19,north,1593.0
2018-06-19,south,1749.0
2018-06-19,west,1608.0
2018-06-20,east,1734.0
2018-06-20,north,1665.0
2018-06-20,south,1659.0
2018-06-20,west,1557.0
2018-06-21,east,1557.0
2018-06-21,north,1797.0
2018-06-21,south,1587.0
2018-06-21,west,1542.0
2018-06-22,east,1686.0
2018-06-22,north,1743.0
2018-06-22,south,1797.0
2018-06-22,west,1683.0
2018-06-23,east,1695.0
2018-06-23,north,1791.0
2018-06-23,south,1554.0
2018-06-23,west,1566.0
2018-06-24,east,1530.0
2018-06-24,north,1563.0
2018-06-24,south,1623.0
2018-06-24,west,1662.0
2018-06-25,east,1548.0
2018-06-25,north,1650.0
2018-06-25,south,1602.0
2018-06-25,west,1623.0
2018-06-26,east,1503.0
2018-06-26,north,1728.0
2018-06-26,south,1533.0
2018-06-26,west,1629.0
2018-06-27,east,1707.0
2018-06-27,north,1581.0
2018-06-27,south,1659.0
2018-06-27,west,1665.0
2018-06-28,east,1692.0
2018-06-28,north,1563.0
2018-06-28,south,1638.0
2018-06-28,west,1503.0
2018-06-29,east,1629.0
2018-06-29,north,1686.0
2018-06-29,south,1764.0
2018-06-29,west,1779.0
2018-06-30,east,1515.0
2018-06-30,north,1554.0
2018-06-30,south,1653.0
2018-06-30,west,1557.0
2018-07-01,east,1716.0
2018-07-01,north,1746.0
2018-07-01,south,1671.0
2018-07-01,west,1554.0
2018-07-02,east,1680.0
2018-07-02,north,1695.0
2018-07-02,south,1611.0
2018-07-02,west,1671.0
2018-07-03,east,1623.0
2018-07-03,north,1644.0
2018-07-03,south,1638.0
2018-07-03,west,1515.0
2018-07-04,east,1764.0
2018-07-04,north,1743.0
2018-07-04,south,1587.0
2018-07-04,west,1572.0
2018-07-05,east,1575.0
2018-07-05,north,1752.0
2018-07-05,south,1647.0
2018-07-05,west,1500.0
2018-07-06,east,1758.0
2018-07-06,north,1743.0
2018-07-06,south,1566.0
2018-07-06,west,1689.0
2018-07-07,east,1695.0
2018-07-07,north,1776.0
2018-07-07,south,1770.0
2018-07-07,west,1566.0
2018-07-08,east,1515.0
2018-07-08,north,1623.0
2018-07-08,south,1776.0
2018-07-08,west,1761.0
2018-07-09,east,1542.0
2018-07-09,north,1623.0
2018-07-09,south,1788.0
2018-07-09,west,1515.0
2018-07-10,east,1755.0
2018-07-10,north,1794.0
2018-07-10,south,1794.0
2018-07-10,west,1761.0
2018-07-11,east,1638.0
2018-07-11,north,1605.0
2018-07-11,south,1569.0
2018-07-11,west,1677.0
2018-07-12,east,1539.0
2018-07-12,north,1593.0
2018-07-12,south,1500.0
2018-07-12,west,1719.0
2018-07-13,east,1680.0
2018-07-13,north,1749.0
2018-07-13,south,1596.0
2018-07-13,west,1509.0
2018-07-14,east,1620.0
2018-07-14,north,1500.0
2018-07-14,south,1653.0
2018-07-14,west,1575.0
2018-07-15,east,1698.0
2018-07-15,north,1737.0
2018-07-15,south,1713.0
2018-07-15,west,1539.0
2018-07-16,east,1554.0
2018-07-16,north,1773.0
2018-07-16,south,1707.0
2018-07-16,west,1515.0
2018-07-17,east,1788.0
2018-07-17,north,1551.0
2018-07-17,south,1566.0
2018-07-17,west,1614.0
2018-07-18,east,1530.0
2018-07-18,north,1704.0
2018-07-18,south,1656.0
2018-07-18,west,1659.0
2018-07-19,east,1704.0
2018-07-19,north,1620.0
2018-07-19,south,1725.0
2018-07-19,west,1527.0
2018-07-20,east,1644.0
2018-07-20,north,1731.0
2018-07-20,south,1761.0
2018-07-20,west,1653.0
2018-07-21,east,1662.0
2018-07-21,north,1725.0
2018-07-21,south,1698.0
2018-07-21,west,1656.0
2018-07-22,east,1659.0
2018-07-22,north,1608.0
2018-07-22,south,1773.0
2018-07-22,west,1647.0
2018-07-23,east,1719.0
2018-07-23,north,1638.0
2018-07-23,south,1623.0
2018-07-23,west,1629.0
2018-07-24,east,1752.0
2018-07-24,north,1701.0
2018-07-24,south,1725.0
2018-07-24,west,1557.0
2018-07-25,east,1533.0
2018-07-25,north,1500.0
2018-07-25,south,1707.0
2018-07-25,west,1737.0
2018-07-26,east,1551.0
2018-07-26,north,1605.0
2018-07-26,south,1767.0
2018-07-26,west,1521.0
2018-07-27,east,1695.0
2018-07-27,north,1659.0
2018-07-27,south,1611.0
2018-07-27,west,1632.0
2018-07-28,east,1596.0
2018-07-28,north,1515.0
2018-07-28,south,1584.0
2018-07-28,west,1743.0
2018-07-29,east,1749.0
2018-07-29,north,1791.0
2018-07-29,south,1599.0
2018-07-29,west,1755.0
2018-07-30,east,1509.0
2018-07-30,north,1755.0
2018-07-30,south,1662.0
2018-07-30,west,1776.0
2018-07-31,east,1548.0
2018-07-31,north,1695.0
2018-07-31,south,1707.0
2018-07-31,west,1578.0
2018-08-01,east,1554.0
2018-08-01,north,1563.0
2018-08-01,south,1674.0
2018-08-01,west,1665.0
2018-08-02,east,1548.0
2018-08-02,north,1527.0
2018-08-02,south,1617.0
2018-08-02,west,1671.0
2018-08-03,east,1719.0
2018-08-03,north,1668.0
2018-08-03,south,1671.0
2018-08-03,west,1668.0
2018-08-04,east,1743.0
2018-08-04,north,1536.0
2018-08-04,south,1734.0
2018-08-04,west,1776.0
2018-08-05,east,1614.0
2018-08-05,north,1650.0
2018-08-05,south,1599.0
2018-08-05,west,1773.0
2018-08-06,east,1554.0
2018-08-06,north,1611.0
2018-08-06,south,1605.0
2018-08-06,west,1788.0
2018-08-07,east,1551.0
2018-08-07,north,1566.0
2018-08-07,south,1560.0
2018-08-07,west,1626.0
2018-08-08,east,1506.0
2018-08-08,north,1665.0
2018-08-08,south,1539.0
2018-08-08,west,1617.0
2018-08-09,east,1620.0
2018-08-09,north,1797.0
2018-08-09,south,1794.0
2018-08-09,west,1683.0
2018-08-10,east,1701.0
2018-08-10,north,1620.0
2018-08-10,south,1554.0
2018-08-10,west,1785.0
2018-08-11,east,1533.0
2018-08-11,north,1689.0
2018-08-11,south,1650.0
2018-08-11,west,1587.0
2018-08-12,east,1719.0
2018-08-12,north,1509.0
2018-08-12,south,1743.0
2018-08-12,west,1743.0
2018-08-13,east,1638.0
2018-08-13,north,1701.0
2018-08-13,south,1629.0
2018-08-13,west,1611.0
2018-08-14,east,1716.0
2018-08-14,north,1623.0
2018-08-14,south,1635.0
2018-08-14,west,1707.0
2018-08-15,east,1800.0
2018-08-15,north,1602.0
2018-08-15,south,1542.0
2018-08-15,west,1734.0
2018-08-16,east,1743.0
2018-08-16,north,1788.0
2018-08-16,south,1614.0
2018-08-16,west,1770.0
2018-08-17,east,1623.0
2018-08-17,north,1776.0
2018-08-17,south,1713.0
2018-08-17,west,1752.0
2018-08-18,east,1689.0
2018-08-18,north,1527.0
2018-08-18,south,1776.0
2018-08-18,west,1713.0
2018-08-19,east,1701.0
2018-08-19,north,1509.0
2018-08-19,south,1575.0
2018-08-19,west,1575.0
2018-08-20,east,1662.0
2018-08-20,north,1581.0
2018-08-20,south,1779.0
2018-08-20,west,1506.0
2018-08-21,east,1644.0
2018-08-21,north,1794.0
2018-08-21,south,1659.0
2018-08-21,west,1707.0
2018-08-22,east,1539.0
2018-08-22,north,1704.0
2018-08-22,south,1500.0
2018-08-22,west,1800.0
2018-08-23,east,1788.0
2018-08-23,north,1557.0
2018-08-23,south,1554.0
2018-08-23,west,1563.0
2018-08-24,east,1734.0
2018-08-24,north,1548.0
2018-08-24,south,1560.0
2018-08-24,west,1644.0
2018-08-25,east,1764.0
2018-08-25,north,1629.0
2018-08-25,south,1677.0
2018-08-25,west,1515.0
2018-08-26,east,1668.0
2018-08-26,north,1542.0
2018-08-26,south,1545.0
2018-08-26,west,1584.0
2018-08-27,east,1602.0
2018-08-27,north,1605.0
2018-08-27,south,1740.0
2018-08-27,west,1509.0
2018-08-28,east,1656.0
2018-08-28,north,1566.0
2018-08-28,south,1680.0
2018-08-28,west,1722.0
2018-08-29,east,1734.0
2018-08-29,north,1662.0
2018-08-29,south,1794.0
2018-08-29,west,1647.0
2018-08-30,east,1665.0
2018-08-30,north,1635.0
2018-08-30,south,1743.0
2018-08-30,west,1770.0
2018-08-31,east,1644.0
2018-08-31,north,1749.0
2018-08-31,south,1695.0
2018-08-31,west,1602.0
2018-09-01,east,1719.0
2018-09-01,north,1560.0
2018-09-01,south,1500.0
2018-09-01,west,1557.0
2018-09-02,east,1506.0
2018-09-02,north,1527.0
2018-09-02,south,1653.0
2018-09-02,west,1575.0
2018-09-03,east,1674.0
2018-09-03,north,1749.0
2018-09-03,south,1770.0
2018-09-03,west,1650.0
2018-09-04,east,1785.0
2018-09-04,north,1794.0
2018-09-04,south,1509.0
2018-09-04,west,1539.0
2018-09-05,east,1656.0
2018-09-05,north,1731.0
2018-09-05,south,1617.0
2018-09-05,west,1599.0
2018-09-06,east,1758.0
2018-09-06,north,1713.0
2018-09-06,south,1506.0
2018-09-06,west,1650.0
2018-09-07,east,1776.0
2018-09-07,north,1791.0
2018-09-07,south,1623.0
2018-09-07,west,1653.0
2018-09-08,east,1533.0
2018-09-08,north,1659.0
2018-09-08,south,1755.0
2018-09-08,west,1557.0
2018-09-09,east,1638.0
2018-09-09,north,1527.0
2018-09-09,south,1614.0
2018-09-09,west,1704.0
2018-09-10,east,1782.0
2018-09-10,north,1650.0
2018-09-10,south,1656.0
2018-09-10,west,1527.0
2018-09-11,east,1749.0
2018-09-11,north,1578.0
2018-09-11,south,1767.0
2018-09-11,west,1524.0
2018-09-12,east,1740.0
2018-09-12,north,1719.0
2018-09-12,south,1695.0
2018-09-12,west,1533.0
2018-09-13,east,1677.0
2018-09-13,north,1653.0
2018-09-13,south,1560.0
2018-09-13,west,1539.0
2018-09-14,east,1743.0
2018-09-14,north,1713.0
2018-09-14,south,1554.0
2018-09-14,west,1701.0
2018-09-15,east,1698.0
2018-09-15,north,1587.0
2018-09-15,south,1512.0
2018-09-15,west,1746.0
2018-09-16,east,1782.0
2018-09-16,north,1554.0
2018-09-16,south,1554.0
2018-09-16,west,1782.0
2018-09-17,east,1545.0
2018-09-17,north,1764.0
2018-09-17,south,1620.0
2018-09-17,west,1722.0
2018-09-18,east,1737.0
2018-09-18,north,1503.0
2018-09-18,south,1530.0
2018-09-18,west,1692.0
2018-09-19,east,1779.0
2018-09-19,north,1542.0
2018-09-19,south,1758.0
2018-09-19,west,1593.0
2018-09-20,east,1662.0
2018-09-20,north,1686.0
2018-09-20,south,1749.0
2018-09-20,west,1569.0
2018-09-21,east,1716.0
2018-09-21,north,1590.0
2018-09-21,south,1665.0
2018-09-21,west,1704.0
2018-09-22,east,1758.0
2018-09-22,north,1632.0
2018-09-22,south,1581.0
2018-09-22,west,1641.0
2018-09-23,east,1728.0
2018-09-23,north,1731.0
2018-09-23,south,1677.0
2018-09-23,west,1755.0
2018-09-24,east,1797.0
2018-09-24,north,1611.0
2018-09-24,south,1593.0
2018-09-24,west,1560.0
2018-09-25,east,1611.0
2018-09-25,north,1530.0
2018-09-25,south,1770.0
2018-09-25,west,1701.0
2018-09-26,east,1713.0
2018-09-26,north,1617.0
2018-09-26,south,1515.0
2018-09-26,west,1500.0
2018-09-27,east,1743.0
2018-09-27,north,1632.0
2018-09-27,south,1713.0
2018-09-27,west,1587.0
2018-09-28,east,1653.0
2018-09-28,north,1749.0
2018-09-28,south,1533.0
2018-09-28,west,1512.0
2018-09-29,east,1701.0
2018-09-29,north,1518.0
2018-09-29,south,1623.0
2018-09-29,west,1596.0
2018-09-30,east,1659.0
2018-09-30,north,1746.0
2018-09-30,south,1536.0
2018-09-30,west,1524.0
2018-10-01,east,1755.0
2018-10-01,north,1782.0
2018-10-01,south,1632.0
2018-10-01,west,1650.0
2018-10-02,east,1800.0
2018-10-02,north,1680.0
2018-10-02,south,1701.0
2018-10-02,west,1740.0
2018-10-03,east,1536.0
2018-10-03,north,1563.0
2018-10-03,south,1788.0
2018-10-03,west,1764.0
2018-10-04,east,1626.0
2018-10-04,north,1512.0
2018-10-04,south,1560.0
2018-10-04,west,1797.0
2018-10-05,east,1713.0
2018-10-05,north,1779.0
2018-10-05,south,1683.0
2018-10-05,west,1794.0
2018-10-06,east,1596.0
2018-10-06,north,1584.0
2018-10-06,south,1647.0
2018-10-06,west,1515.0
2018-10-07,east,1794.0
2018-10-07,north,1533.0
2018-10-07,south,1608.0
2018-10-07,west,1578.0
2018-10-08,east,1779.0
2018-10-08,north,1701.0
2018-10-08,south,1617.0
2018-10-08,west,1785.0
2018-10-09,east,1551.0
2018-10-09,north,1680.0
2018-10-09,south,1590.0
2018-10-09,west,1587.0
2018-10-10,east,1599.0
2018-10-10,north,1749.0
2018-10-10,south,1701.0
2018-10-10,west,1506.0
2018-10-11,east,1749.0
2018-10-11,north,1596.0
2018-10-11,south,1800.0
2018-10-11,west,1674.0
2018-10-12,east,1542.0
2018-10-12,north,1782.0
2018-10-12,south,1647.0
2018-10-12,west,1656.0
2018-10-13,east,1722.0
2018-10-13,north,1581.0
